,bur26a,bur26b,bur26c,bur26d,nug17,nug18,nug20,nug21,tai10a,tai10b,tai12a,tai12b,tai15a,tai15b,tai20a,tai20b,tai25a,tai25b,tai30a,tai30b,tai35a,tai35b,tai40a,tai40b,tai60a,tai60b,tai80a,tai80b,tai100a,tai100b
Hamming_KMM_EXPONENTIAL,1.45,1.45,1.43,1.44,0.44,0.51,0.68,0.77,0.12,0.12,0.18,0.19,0.31,0.31,0.69,0.68,1.29,1.27,2.29,2.29,3.37,3.34,5.41,5.41,19.23,19.21,50.09,50.1,107.29,107.16
Hamming_KMM_LINEAR,1.08,1.09,1.08,1.09,0.32,0.38,0.5,0.58,0.08,0.08,0.13,0.13,0.24,0.23,0.51,0.51,0.98,0.97,1.82,1.83,2.68,2.66,4.45,4.44,16.65,16.65,45.17,45.28,99.06,99.15
Hamming_MM_EXPONENTIAL,0.83,0.83,0.83,0.84,0.22,0.27,0.36,0.43,0.05,0.05,0.08,0.08,0.16,0.15,0.37,0.37,0.74,0.73,1.49,1.5,2.18,2.15,3.74,3.73,14.77,14.72,41.2,41.24,91.37,91.56
Hamming_MM_LINEAR,0.94,0.93,0.92,0.94,0.25,0.3,0.41,0.47,0.05,0.05,0.09,0.09,0.17,0.17,0.41,0.42,0.82,0.84,1.65,1.65,2.39,2.4,4.11,4.12,16.04,21.01,44.32,44.35,97.67,97.69
Hamming_MM_ESTIMATED,1.09,1.06,1.07,1.1,0.31,0.37,0.5,0.59,0.06,0.06,0.11,0.1,0.23,0.2,0.52,0.46,1.03,1,2,2,2.96,2.96,4.92,4.91,18.12,18.34,49.34,49.26,105.31,105.76
MM_Ulam,11.26,10.87,12.07,10.84,4.54,3.92,5.71,7.08,1.83,1.5,4.24,3.55,6.82,6.57,7.26,7.21,12.27,12.36,17.83,18.74,41.11,42.6,57.39,55.66,1153.52,1159.36,4146.55,3468.49,37631.74,39218.13
MM_Cayley,0.63,0.62,0.63,0.62,0.16,0.19,0.29,0.32,0.03,0.03,0.06,0.06,0.11,0.11,0.3,0.3,0.55,0.56,1.14,1.19,1.64,1.74,3.03,3.13,12.25,12.88,34.57,37.45,75.78,84.48
MM_Kendall,1.39,1.39,1.41,1.4,0.28,0.33,0.51,0.62,0.05,0.05,0.08,0.08,0.17,0.18,0.49,0.52,1.19,1.17,2.67,2.69,4.5,4.5,8.17,8.2,45.62,46.06,159.19,160.24,425.46,425.27
GMM_Cayley,0.83,0.82,0.81,0.81,0.2,0.23,0.33,0.39,0.04,0.04,0.06,0.06,0.13,0.13,0.34,0.33,0.72,0.71,1.52,1.49,2.42,2.45,4.19,4.23,19.15,19.53,59.83,61.2,146.93,150.47
GMM_Kendall,1.44,1.44,1.44,1.45,0.31,0.35,0.52,0.64,0.05,0.06,0.1,0.1,0.19,0.19,0.52,0.53,1.23,1.24,2.72,2.73,4.64,4.61,8.28,8.26,45.82,45.84,159.14,159.59,425.84,426.73
GMMM_Cayley,75.26,71.23,63.34,58.66,10.97,12.54,19.24,27.77,1.65,1.56,2.79,2.68,7.95,7.51,24.59,24.82,55.72,68.55,99.29,151.43,198.75,255.93,344.91,560.91,1482.26,2695.67,4482.51,6542.95,9559.69,17927.23
GMMM_Kendall,204.55,198.34,191.14,176.36,26.17,33.88,53.94,65.18,4.17,4.21,7.79,6.95,18.97,15.1,57.71,62.88,153.94,188,364.5,418.68,746.37,768.42,1279.7,1510.94,8911.09,9474,29663.59,29100.24,71204.79,77190
Kernels_Cayley,0.58,0.58,0.56,0.57,0.13,0.15,0.19,0.24,0.03,0.03,0.04,0.04,0.08,0.08,0.2,0.19,0.45,0.53,0.67,0.65,1.49,2.09,1.55,1.58,5.4,5.53,14.28,15.04,30.68,32.15
Kernels_Kemdall,1.19,1.18,1.18,1.18,0.26,0.31,0.45,0.54,0.04,0.04,0.07,0.08,0.17,0.17,0.46,0.45,1.01,1.02,2.14,2.13,3.53,3.5,5.87,5.88,28,28,87.06,86.84,210.35,210.5
Placket Luce,3.25,3.18,3.19,3.2,1.09,1.45,1.22,1.43,1.22,1.28,1.43,1.13,0.74,1.69,1.26,1.98,2.93,2.87,5.81,5.91,9.93,10.11,16.92,16.46,71.01,70.5,199.74,201.4,435.74,436.76
UMDA,4,3.9,3.77,3.72,0.95,1.08,1.98,1.8,0.42,0.88,0.96,0.76,0.96,1.36,2.23,1.5,3.18,3.2,6.32,6.66,11.52,11.43,18.14,18.25,84.8,85.47,258.46,258.84,624.71,608.46
MIMIC,5.64,5.63,5.66,5.62,1.24,1.32,2.51,2.62,0.98,0.98,1.03,1.03,1.13,1.13,2.5,2.51,4.46,4.48,10.07,9.79,18.33,18.39,31.7,31.67,175.86,172.14,611.81,590.46,1653.5,1529.9
EBNA,13.92,13.72,13.55,13.69,1.93,3.07,3.96,5.58,1.05,1.05,1.12,1.15,1.41,1.43,3.99,4.08,11.43,11.42,26.02,25.93,53.2,53.26,102.9,101.82,677.97,678.47,2623.12,2615.96,7511.6,7438
EHBSA_WT,1,1.03,1,1.02,0.47,0.5,0.59,0.64,0.28,0.18,0.32,0.32,0.39,0.39,0.61,0.61,0.92,0.92,1.49,1.45,2.34,2.29,3.54,3.44,14.07,14.14,41.36,41.34,96.45,95.86
NHBSA_WT,1.14,1.16,1.15,1.18,0.49,0.54,0.65,0.69,0.25,0.18,0.3,0.3,0.41,0.4,0.63,0.64,1.07,1.06,1.72,1.7,2.66,2.61,3.87,3.8,14.66,14.68,41.66,41.35,94.59,93.18
NHBSA_WO,1.65,1.66,1.7,1.68,0.59,0.65,0.82,0.95,0.29,0.24,0.34,0.34,0.47,0.47,0.84,0.83,1.54,1.49,2.6,2.62,4.3,4.25,6.59,6.46,26.66,26.62,84.12,79.88,185.15,185.29
RK-EDA,6.91,6.84,6.76,6.81,1.8,2.21,3.01,3.44,0.61,0.61,0.89,0.89,1.4,1.46,3.19,3.06,6.04,5.99,11.26,11.16,20.05,20.02,33.76,33.64,190.82,191.04,720.19,719.61,2119.8,2120.05
